"gene_ID"	"gene_qvalue"	"minimal_tx_qvalue"	"number_tx"	"number_significant_tx"	"max(Ciliated_UK_72hpi_child_Infected-Ciliated_uninfected_child_Uninfected)"	"pct_gene_expr"	"max_pct_tx_expr"
"ENSG00000204469"	"ENSG00000204469"	1.70354581931588e-06	0	2	2	0.836228594594522	1	0.666666666666667
"ENSG00000189377"	"ENSG00000189377"	1.24864642353674e-24	0	2	2	0.710827233372745	1	1
"ENSG00000141968"	"ENSG00000141968"	0.0237418513865921	0	2	2	0.690823439977207	1	0.666666666666667
"ENSG00000180596"	"ENSG00000180596"	0.0001432132745438	0	2	2	-0.686867239350579	1	0.833333333333333
"ENSG00000169715"	"ENSG00000169715"	0.0116689189361677	0	2	2	-0.634185487368394	1	0.666666666666667
"ENSG00000111196"	"ENSG00000111196"	0.0337360982583547	0	2	2	0.582649637151086	0.833333333333333	0.666666666666667
"ENSG00000157181"	"ENSG00000157181"	0.00755842310094432	0	2	2	-0.54730664094187	1	0.833333333333333
"ENSG00000090863"	"ENSG00000090863"	0.0235832405389839	0	2	2	0.543235273018538	1	0.833333333333333
"ENSG00000078269"	"ENSG00000078269"	0.0480630027994275	0	2	2	0.512424491455262	1	1
"ENSG00000124313"	"ENSG00000124313"	0.0382877435844859	0	2	2	0.50647558336818	1	0.833333333333333
"ENSG00000129194"	"ENSG00000129194"	3.30025923902948e-05	0	2	2	0.504907262661138	1	1
"ENSG00000179832"	"ENSG00000179832"	0.0127877002397872	0	2	2	0.503262162360166	1	1
"ENSG00000055211"	"ENSG00000055211"	8.92959104668585e-07	0	2	2	0.475631915269378	1	1
"ENSG00000143947"	"ENSG00000143947"	0	0	2	2	0.47271535821266	1	1
"ENSG00000171962"	"ENSG00000171962"	0.0298352452261708	0	2	2	-0.463856615682724	1	0.833333333333333
"ENSG00000185262"	"ENSG00000185262"	1.25233654761099e-07	0	2	2	-0.423363401112743	1	1
"ENSG00000005882"	"ENSG00000005882"	0.0131433813553651	0	2	2	-0.407969371082937	1	1
"ENSG00000158864"	"ENSG00000158864"	1.40242945284333e-35	0	2	2	0.404978610999191	1	1
"ENSG00000139990"	"ENSG00000139990"	0.0106567674637038	0	2	2	-0.403727029257994	1	1
"ENSG00000197746"	"ENSG00000197746"	0.000340509923002518	0	2	2	-0.384337590543512	1	1
"ENSG00000144118"	"ENSG00000144118"	0.00112990362575333	0	2	2	-0.37899941984377	1	1
"ENSG00000143252"	"ENSG00000143252"	0.0198227810204543	0	2	2	0.374832271618433	1	1
"ENSG00000117411"	"ENSG00000117411"	0.0243750949879104	0	2	2	-0.370564376087618	1	1
"ENSG00000135338"	"ENSG00000135338"	0.0240487045741871	0	2	2	-0.367949902491391	1	1
"ENSG00000168077"	"ENSG00000168077"	0.022635699758192	0	2	2	0.357908807368928	1	1
"ENSG00000058453"	"ENSG00000058453"	0.0229509089116781	0	2	2	-0.338066473089283	1	0.833333333333333
"ENSG00000197170"	"ENSG00000197170"	0.0123984428720355	0	2	2	0.335756939738279	1	1
"ENSG00000120699"	"ENSG00000120699"	0.0428714610145044	0	2	2	-0.322456118309806	1	1
"ENSG00000163900"	"ENSG00000163900"	0.0121232053525147	0	2	2	-0.303548157063573	1	1
"ENSG00000140395"	"ENSG00000140395"	2.06744985789206e-10	0	2	2	0.29180709998225	1	1
"ENSG00000198843"	"ENSG00000198843"	0.000259113280969029	0	2	2	-0.291753048247567	1	1
"ENSG00000189376"	"ENSG00000189376"	1.77931332138319e-07	0	2	2	-0.283419549105732	1	1
"ENSG00000102554"	"ENSG00000102554"	0.00543232714217446	0	2	2	0.279999186222288	1	1
"ENSG00000144136"	"ENSG00000144136"	0.0218868745882025	0	2	2	-0.26503752023013	1	1
"ENSG00000143977"	"ENSG00000143977"	6.84075364564346e-16	0	2	2	0.262456288937223	1	1
"ENSG00000013275"	"ENSG00000013275"	2.24216611989901e-15	0	2	2	0.245897898125376	1	1
"ENSG00000185338"	"ENSG00000185338"	0.00721868162798669	0	2	2	0.244465421950037	1	1
"ENSG00000177981"	"ENSG00000177981"	0.0454347348495152	0	2	2	-0.231436635121002	1	1
"ENSG00000171224"	"ENSG00000171224"	0.0322648338385925	0	2	2	0.223537903392395	1	1
"ENSG00000227053"	"ENSG00000227053"	0.0496469309993295	0	2	2	-0.219795795109241	0.833333333333333	0.833333333333333
"ENSG00000141232"	"ENSG00000141232"	2.29458963900969e-10	0	2	2	0.217191439206614	1	1
"ENSG00000085117"	"ENSG00000085117"	1.48807972624343e-08	0	2	2	-0.216217553656214	1	1
"ENSG00000184277"	"ENSG00000184277"	0.0364639439136608	0	2	2	-0.213353120533095	1	1
"ENSG00000109321"	"ENSG00000109321"	0.00856060618562192	0	2	2	-0.211638480039944	1	1
"ENSG00000164405"	"ENSG00000164405"	3.80733634597042e-16	0	2	2	0.210867447037006	1	1
"ENSG00000160201"	"ENSG00000160201"	0.000670210167096909	0	2	2	-0.210338732245122	1	1
"ENSG00000064726"	"ENSG00000064726"	0.0271147768528943	0	2	2	0.203648263643263	1	1
"ENSG00000071553"	"ENSG00000071553"	0.00130614060732227	0	2	2	0.201565638250055	1	1
"ENSG00000147883"	"ENSG00000147883"	0.0142532235248148	0	2	2	-0.199819193511374	1	1
"ENSG00000115009"	"ENSG00000115009"	0.0417773674860288	0	2	2	0.198055382834851	1	1
"ENSG00000125651"	"ENSG00000125651"	0.0157343102990129	0	2	2	0.194329088921669	1	1
"ENSG00000146701"	"ENSG00000146701"	3.57879641415335e-10	0	2	2	0.191966147233175	1	1
"ENSG00000197696"	"ENSG00000197696"	0.00859471916035971	0	2	2	-0.188419647369727	1	1
"ENSG00000080824"	"ENSG00000080824"	2.19481296164893e-07	0	2	2	-0.184993777364603	1	1
"ENSG00000198839"	"ENSG00000198839"	0.0186517509349512	0	2	2	0.183219903995138	1	1
"ENSG00000135926"	"ENSG00000135926"	0.00512719051833186	0	2	2	-0.178517958838631	1	1
"ENSG00000105427"	"ENSG00000105427"	0.0189061131987794	0	2	2	0.178007159881092	1	1
"ENSG00000100906"	"ENSG00000100906"	0.000153597283517623	0	2	2	0.174125759235945	1	1
"ENSG00000140497"	"ENSG00000140497"	0.0396261323425737	0	2	2	-0.163847165361463	1	1
"ENSG00000181885"	"ENSG00000181885"	0.00167804351885567	0	2	2	0.162636250003355	1	1
"ENSG00000070540"	"ENSG00000070540"	0.0085994459992962	0	2	2	-0.16105899028591	1	1
"ENSG00000169689"	"ENSG00000169689"	0.00960706775142302	0	2	2	0.153279389848206	1	1
"ENSG00000142409"	"ENSG00000142409"	0.0200165109487017	0	2	2	0.149869912217755	1	1
"ENSG00000213085"	"ENSG00000213085"	0.0011984271175322	0	2	2	-0.144479873656897	1	1
"ENSG00000006007"	"ENSG00000006007"	0.000971398510938884	0	2	2	0.14051390024447	1	1
"ENSG00000100836"	"ENSG00000100836"	0.0116795727764399	0	2	2	0.133325762640924	1	1
"ENSG00000127129"	"ENSG00000127129"	0.000550027807458216	0	2	2	0.126487396941049	1	1
"ENSG00000250722"	"ENSG00000250722"	0.00231477485345578	0	2	2	-0.126178550933456	1	1
"ENSG00000189266"	"ENSG00000189266"	0.0136766439730315	0	2	2	-0.119601602373055	1	1
"ENSG00000156411"	"ENSG00000156411"	0.000951231676012876	0	2	2	-0.115816300065105	1	1
"ENSG00000163170"	"ENSG00000163170"	0.032330629293827	0	2	2	-0.115000897577979	1	1
"ENSG00000173113"	"ENSG00000173113"	0.00140467650258452	0	2	2	0.111898639162524	1	1
"ENSG00000165609"	"ENSG00000165609"	8.38932522284735e-07	0	2	2	0.11115179854172	1	1
"ENSG00000131171"	"ENSG00000131171"	0.011242320492574	0	2	2	0.109780599959478	1	1
"ENSG00000119655"	"ENSG00000119655"	2.45907264512444e-15	0	2	2	0.109236796144921	1	1
"ENSG00000173409"	"ENSG00000173409"	0.0179759694854307	0	2	2	-0.108570155149268	1	1
"ENSG00000129625"	"ENSG00000129625"	0.00257221594143639	0	2	2	0.10651543821253	1	1
"ENSG00000118680"	"ENSG00000118680"	1.29700970957946e-12	0	2	2	-0.10645560960157	1	1
"ENSG00000185043"	"ENSG00000185043"	2.03418035358406e-11	0	2	2	-0.104072058142757	1	1
"ENSG00000172965"	"ENSG00000172965"	0.0270806204204342	0	2	2	0.101363934023718	1	1
"ENSG00000132963"	"ENSG00000132963"	0.0093653024834183	0	2	2	-0.0998602194365551	1	1
"ENSG00000118418"	"ENSG00000118418"	0.000360623382813049	0	2	2	0.0960192736412808	1	1
"ENSG00000057149"	"ENSG00000057149"	1.14034280105706e-45	0	2	2	-0.0932921039186434	1	1
"ENSG00000186081"	"ENSG00000186081"	0.000142954220671821	0	2	2	0.0925960221835344	1	1
"ENSG00000170477"	"ENSG00000170477"	0.0432943274441841	0	2	2	0.0915567753760376	1	1
"ENSG00000174917"	"ENSG00000174917"	0.0198460698847211	0	2	2	0.0910041772186708	1	1
"ENSG00000118849"	"ENSG00000118849"	0.0011586734591828	0	2	2	-0.088173048727473	1	1
"ENSG00000243955"	"ENSG00000243955"	0.0320260197276317	0	2	2	0.0845527421357023	1	1
"ENSG00000019102"	"ENSG00000019102"	0.0229561837054206	0	2	2	-0.0839567261816611	1	1
"ENSG00000159335"	"ENSG00000159335"	0.0479681686650117	0	2	2	-0.0798713898662622	1	1
"ENSG00000092841"	"ENSG00000092841"	0.000497291318683638	0	2	2	-0.076746591648852	1	1
"ENSG00000135698"	"ENSG00000135698"	0.0496949612283189	0	2	2	0.0720214389886025	1	1
"ENSG00000007520"	"ENSG00000007520"	0.0239728519008442	0	2	2	-0.0719996352021785	1	1
"ENSG00000168090"	"ENSG00000168090"	7.73778288927598e-05	0	2	2	0.0711331347779351	1	1
"ENSG00000126457"	"ENSG00000126457"	0.00999795771697876	0	2	2	-0.0698112081528638	1	1
"ENSG00000077549"	"ENSG00000077549"	0.0358240289489833	0	2	2	0.0697959511762118	1	1
"ENSG00000165672"	"ENSG00000165672"	0.000128796665340437	0	2	2	0.0693053032437454	1	1
"ENSG00000169189"	"ENSG00000169189"	0.0355548526719132	0	2	2	-0.0659042810424463	1	1
"ENSG00000115541"	"ENSG00000115541"	0.0111753290067635	0	2	2	-0.0648239978116114	1	1
"ENSG00000137331"	"ENSG00000137331"	6.47132836679748e-06	0	2	2	-0.0616566989743907	1	1
"ENSG00000101084"	"ENSG00000101084"	0.0089597776309618	0	2	2	0.055217616964108	1	1
"ENSG00000167004"	"ENSG00000167004"	0.0357848754666866	0	2	2	-0.0542422637669638	1	1
"ENSG00000162078"	"ENSG00000162078"	0.0393959033170085	0	2	2	0.0532241829463386	1	1
"ENSG00000185885"	"ENSG00000185885"	0.00242587294854179	0	2	2	0.0502821467843219	1	1
"ENSG00000205420"	"ENSG00000205420"	0.00464625570184555	0	2	2	-0.0480841941654077	1	1
"ENSG00000096384"	"ENSG00000096384"	0.00882212433877877	0	2	2	-0.0455996823589141	1	1
"ENSG00000128422"	"ENSG00000128422"	1.7809640284827e-11	0	2	2	-0.0444117177573386	1	1
"ENSG00000170345"	"ENSG00000170345"	0.00259764414651748	0	2	2	-0.0427980644912562	1	1
"ENSG00000123349"	"ENSG00000123349"	7.04937017231812e-05	0	2	2	0.0418604721231728	1	1
