"gene_ID"	"gene_qvalue"	"minimal_tx_qvalue"	"number_tx"	"number_significant_tx"	"max(Secretory_VIC01_72hpi_child_Infected-Secretory_uninfected_child_Uninfected)"	"pct_gene_expr"	"max_pct_tx_expr"
"ENSG00000148308"	"ENSG00000148308"	0.0186594815417204	0	2	2	0.641608825420444	0.833333333333333	0.833333333333333
"ENSG00000166900"	"ENSG00000166900"	0.0298005773537845	0	2	2	0.638008797308996	0.833333333333333	0.666666666666667
"ENSG00000204469"	"ENSG00000204469"	0.0352251565744996	0	2	2	0.624792480364343	0.833333333333333	0.666666666666667
"ENSG00000133275"	"ENSG00000133275"	2.68008978389301e-06	0	2	2	-0.606555223291791	1	1
"ENSG00000203485"	"ENSG00000203485"	0.00868159655263046	0	2	2	0.601270652604314	1	0.833333333333333
"ENSG00000185220"	"ENSG00000185220"	0.038108510476678	0	2	2	0.580776239086553	0.833333333333333	0.666666666666667
"ENSG00000224616"	"ENSG00000224616"	0.015079022450597	0	2	2	-0.565290899466345	0.833333333333333	0.833333333333333
"ENSG00000231160"	"ENSG00000231160"	0.0110236801909496	0	2	2	0.526871412022573	0.666666666666667	0.666666666666667
"ENSG00000149273"	"ENSG00000149273"	1.99366981468917e-182	0	2	2	0.506459321163321	1	1
"ENSG00000198692"	"ENSG00000198692"	1.38445089068515e-06	0	2	2	0.478065261000363	1	1
"ENSG00000179387"	"ENSG00000179387"	0.00729878703594962	0	2	2	0.438002073207561	1	1
"ENSG00000055211"	"ENSG00000055211"	4.41592899539796e-05	0	2	2	-0.423755763701637	1	1
"ENSG00000143947"	"ENSG00000143947"	5.97887714529459e-222	0	2	2	0.422683911774487	1	1
"ENSG00000129194"	"ENSG00000129194"	0.00765510082157503	0	2	2	0.413999987619048	1	1
"ENSG00000119411"	"ENSG00000119411"	0.0362215984551632	0	2	2	-0.390974003488636	1	1
"ENSG00000083535"	"ENSG00000083535"	0.023480489262281	0	2	2	0.353128171655377	1	1
"ENSG00000109189"	"ENSG00000109189"	0.0191948975956943	0	2	2	0.349352728628878	1	0.833333333333333
"ENSG00000156508"	"ENSG00000156508"	9.46695730187327e-276	0	2	2	0.320864118743928	1	1
"ENSG00000100142"	"ENSG00000100142"	0.0402237402277968	0	2	2	0.314733058899735	1	1
"ENSG00000120915"	"ENSG00000120915"	0.0137979750443608	0	2	2	-0.294174643971112	1	1
"ENSG00000132286"	"ENSG00000132286"	0.0355864766377362	0	2	2	-0.266205501525285	1	1
"ENSG00000158864"	"ENSG00000158864"	1.51165734921204e-05	0	2	2	-0.257185621119653	1	1
"ENSG00000013275"	"ENSG00000013275"	3.75138481101281e-12	0	2	2	0.252933755503327	1	1
"ENSG00000159388"	"ENSG00000159388"	7.78419900321876e-06	0	2	2	0.252476101101344	1	1
"ENSG00000100744"	"ENSG00000100744"	0.000897754063709916	0	2	2	0.24633589761109	1	1
"ENSG00000164405"	"ENSG00000164405"	4.34274871191984e-10	0	2	2	0.242713407871934	1	1
"ENSG00000127129"	"ENSG00000127129"	0.00135611436773293	0	2	2	-0.240434980922519	1	1
"ENSG00000064726"	"ENSG00000064726"	0.0487721205364721	0	2	2	-0.204300838029464	1	1
"ENSG00000141232"	"ENSG00000141232"	0.00129035521782393	0	2	2	-0.190586802095634	1	1
"ENSG00000132386"	"ENSG00000132386"	0.000110800253263348	0	2	2	-0.175105215415621	1	1
"ENSG00000276023"	"ENSG00000276023"	0.0469568423719116	0	2	2	-0.163258996090266	1	1
"ENSG00000162909"	"ENSG00000162909"	1.28542966385941e-08	0	2	2	-0.158735596415257	1	1
"ENSG00000100243"	"ENSG00000100243"	0.0286538694375979	0	2	2	-0.157418283442561	1	1
"ENSG00000178952"	"ENSG00000178952"	1.29561247234356e-09	0	2	2	0.15054240179392	1	1
"ENSG00000085117"	"ENSG00000085117"	0.0381039755119731	0	2	2	0.149387151893407	1	1
"ENSG00000142910"	"ENSG00000142910"	0.0070254235695997	0	2	2	0.135899935242584	1	1
"ENSG00000176153"	"ENSG00000176153"	0.0452887006736299	0	2	2	-0.134218314345631	1	1
"ENSG00000144451"	"ENSG00000144451"	0.0415403774325626	0	2	2	0.129862217269107	1	1
"ENSG00000166165"	"ENSG00000166165"	3.72237251883323e-07	0	2	2	-0.112250439955048	1	1
"ENSG00000140319"	"ENSG00000140319"	5.40557604889522e-07	0	2	2	0.11198766796864	1	1
"ENSG00000160345"	"ENSG00000160345"	0.00725266037214458	0	2	2	-0.108622795880178	1	1
"ENSG00000185043"	"ENSG00000185043"	2.0628470528048e-09	0	2	2	-0.1004053965799	1	1
"ENSG00000116288"	"ENSG00000116288"	0.00013596778134712	0	2	2	-0.0987059240715804	1	1
"ENSG00000118680"	"ENSG00000118680"	5.1787156298572e-05	0	2	2	-0.0908043692277468	1	1
"ENSG00000172531"	"ENSG00000172531"	0.0210163270456349	0	2	2	0.0781000978915827	1	1
"ENSG00000125835"	"ENSG00000125835"	0.0317035297968822	0	2	2	-0.0746703721186858	1	1
"ENSG00000187840"	"ENSG00000187840"	0.0431100328438912	0	2	2	-0.0746547679646197	1	1
"ENSG00000165609"	"ENSG00000165609"	0.0412885736844566	0	2	2	0.0678839747397719	1	1
"ENSG00000143621"	"ENSG00000143621"	0.00868159655263046	0	2	2	0.0643340816324696	1	1
"ENSG00000104823"	"ENSG00000104823"	0.00137768902351938	0	2	2	0.0627251203987842	1	1
"ENSG00000104904"	"ENSG00000104904"	0.00326522988576108	0	2	2	0.0605272432437196	1	1
"ENSG00000196139"	"ENSG00000196139"	1.66838896951987e-05	0	2	2	0.0588220726990168	1	1
"ENSG00000137331"	"ENSG00000137331"	0.00554488787393925	0	2	2	-0.0532875034594252	1	1
"ENSG00000170315"	"ENSG00000170315"	0.0338890250894052	0	2	2	-0.0435824137367307	1	1
"ENSG00000132341"	"ENSG00000132341"	0.000302594537402668	0	2	2	-0.0417846880599579	1	1
"ENSG00000108602"	"ENSG00000108602"	0.0325551551952888	0	2	2	-0.0350954552509493	1	1
"ENSG00000187514"	"ENSG00000187514"	0.00820044251676371	0	2	2	-0.0298888950713174	1	1
"ENSG00000089157"	"ENSG00000089157"	0.0014970459646356	0	2	2	0.0290413440030901	1	1
"ENSG00000196754"	"ENSG00000196754"	9.46695730187327e-276	1.71708664610856e-251	4	1	0.810153799562099	1	1
"ENSG00000089356"	"ENSG00000089356"	1.14005288793012e-178	5.16542973944463e-176	3	2	-0.467637520530143	1	1
"ENSG00000164919"	"ENSG00000164919"	1.37412496565466e-127	1.23212160877859e-129	3	2	0.843114593523056	1	1
