"gene_ID"	"gene_qvalue"	"minimal_tx_qvalue"	"number_tx"	"number_significant_tx"	"max(Suprabasal_UK_72hpi_adult_Infected-Suprabasal_uninfected_adult_Uninfected)"	"pct_gene_expr"	"max_pct_tx_expr"
"ENSG00000164114"	"ENSG00000164114"	0.021464953517626	0	2	2	-0.559949503208775	1	0.833333333333333
"ENSG00000179813"	"ENSG00000179813"	0.0130823281482447	0	2	2	0.547848022038567	1	1
"ENSG00000119760"	"ENSG00000119760"	0.0216235242941424	0	2	2	0.544628979988924	1	0.833333333333333
"ENSG00000203778"	"ENSG00000203778"	0.00705540099346958	0	2	2	0.510330153390941	1	1
"ENSG00000108468"	"ENSG00000108468"	0.000809011212340565	0	2	2	-0.503248043252332	1	1
"ENSG00000142327"	"ENSG00000142327"	0.0307848141032572	0	2	2	0.502310592395618	1	0.833333333333333
"ENSG00000178741"	"ENSG00000178741"	4.12112750211613e-40	0	2	2	-0.43868904172953	1	1
"ENSG00000013275"	"ENSG00000013275"	7.72448781428064e-11	0	2	2	-0.300862970010088	1	1
"ENSG00000109321"	"ENSG00000109321"	0.0185632902893849	0	2	2	0.283093241112969	1	1
"ENSG00000073803"	"ENSG00000073803"	0.0162455566217374	0	2	2	0.280932431069078	1	1
"ENSG00000184924"	"ENSG00000184924"	3.06931242175292e-06	0	2	2	0.236488188930401	1	1
"ENSG00000100321"	"ENSG00000100321"	0.043651711001031	0	2	2	0.235715465392184	1	1
"ENSG00000130545"	"ENSG00000130545"	0.0383860915693632	0	2	2	0.233684104243657	1	1
"ENSG00000166669"	"ENSG00000166669"	0.0113339585780808	0	2	2	-0.229903561231338	1	1
"ENSG00000206075"	"ENSG00000206075"	5.79499724685485e-08	0	2	2	0.201463580696186	1	1
"ENSG00000132341"	"ENSG00000132341"	2.20626646545055e-17	0	2	2	-0.199863151187555	1	1
"ENSG00000163931"	"ENSG00000163931"	3.66866773895122e-05	0	2	2	0.196054000454419	1	1
"ENSG00000065154"	"ENSG00000065154"	3.43843723732106e-05	0	2	2	-0.193031474535387	1	1
"ENSG00000085117"	"ENSG00000085117"	0.000282833572317511	0	2	2	-0.186311007242465	1	1
"ENSG00000163950"	"ENSG00000163950"	0.0100697003987183	0	2	2	-0.17514746275245	1	1
"ENSG00000159335"	"ENSG00000159335"	0.0256763497272463	0	2	2	-0.161508539034059	1	1
"ENSG00000175854"	"ENSG00000175854"	0.011456799472785	0	2	2	-0.157192517379931	1	1
"ENSG00000127129"	"ENSG00000127129"	0.0141275382934888	0	2	2	-0.145577287325002	1	1
"ENSG00000144713"	"ENSG00000144713"	2.63690277840277e-37	0	2	2	-0.138554230238098	1	1
"ENSG00000133131"	"ENSG00000133131"	0.0451509308102428	0	2	2	0.109351590449119	1	1
"ENSG00000185043"	"ENSG00000185043"	1.23805556335473e-06	0	2	2	-0.104038551127207	1	1
"ENSG00000136689"	"ENSG00000136689"	0.0299323363887365	0	2	2	0.102328841472278	1	1
"ENSG00000109861"	"ENSG00000109861"	0.0213840821979607	0	2	2	-0.100160259342789	1	1
"ENSG00000167644"	"ENSG00000167644"	0.00664190279288622	0	2	2	0.0948088930314934	1	1
"ENSG00000168528"	"ENSG00000168528"	0.0487382940594175	0	2	2	-0.090982658870065	1	1
"ENSG00000165672"	"ENSG00000165672"	0.00759183644472915	0	2	2	0.0878850623340802	1	1
"ENSG00000173467"	"ENSG00000173467"	0.0244892570180577	0	2	2	0.0822103935060444	1	1
"ENSG00000177156"	"ENSG00000177156"	0.0360298831023218	0	2	2	-0.0817307031426641	1	1
"ENSG00000150687"	"ENSG00000150687"	0.00765093752468679	0	2	2	-0.0808178928836706	1	1
"ENSG00000186081"	"ENSG00000186081"	1.02216466785362e-10	0	2	2	0.0785642634801439	1	1
"ENSG00000140319"	"ENSG00000140319"	0.00482124351374815	0	2	2	-0.075910789517237	1	1
"ENSG00000087088"	"ENSG00000087088"	0.0371519630859445	0	2	2	0.0590620740823695	1	1
"ENSG00000241343"	"ENSG00000241343"	0.0130823281482447	0	2	2	-0.0514534431463616	1	1
"ENSG00000187514"	"ENSG00000187514"	1.49426851850688e-08	0	2	2	-0.04794189168599	1	1
"ENSG00000132475"	"ENSG00000132475"	0.0131116648829793	0	2	2	0.0477626717153785	1	1
"ENSG00000184009"	"ENSG00000184009"	6.0500316961816e-06	0	2	2	0.039996174117948	1	1
"ENSG00000164405"	"ENSG00000164405"	0.0417665721368824	0	2	2	0.0394365978767393	1	1
"ENSG00000115286"	"ENSG00000115286"	0.0330645711228144	0	2	2	0.0388394623126709	1	1
"ENSG00000110700"	"ENSG00000110700"	2.48084505970769e-05	0	2	2	0.0385759699858998	1	1
"ENSG00000164032"	"ENSG00000164032"	0.0351174152786751	0	2	2	-0.0344007400526343	1	1
"ENSG00000173436"	"ENSG00000173436"	0.0387547143013089	0	2	2	0.032307552626435	1	1
"ENSG00000008394"	"ENSG00000008394"	0.00321548186522098	0	2	2	-0.0290554161591211	1	1
"ENSG00000145741"	"ENSG00000145741"	0.0108035255441717	0	2	2	0.0244024789852962	1	1
"ENSG00000205420"	"ENSG00000205420"	0.00260971031501865	0	2	2	-0.0237027991003976	1	1
"ENSG00000108298"	"ENSG00000108298"	0.000886568618152956	0	2	2	0.0205775670401258	1	1
"ENSG00000115268"	"ENSG00000115268"	0.0234069257818535	0	2	2	0.0176824910672981	1	1
"ENSG00000122026"	"ENSG00000122026"	1.65253390846908e-267	6.28861267479206e-176	4	1	-0.367297503576211	1	1
"ENSG00000147403"	"ENSG00000147403"	1.65253390846908e-267	1.53287013990075e-150	7	2	0.954560337231953	1	1
"ENSG00000167996"	"ENSG00000167996"	8.95641602210363e-160	1.04708178715039e-133	4	1	-0.429711625117668	1	1
"ENSG00000211450"	"ENSG00000211450"	5.66048803403053e-199	3.07597661882275e-126	3	1	0.900926504602676	1	1
"ENSG00000089356"	"ENSG00000089356"	2.10781800914978e-101	1.80306829485753e-98	3	2	0.453519627167995	1	1
"ENSG00000104408"	"ENSG00000104408"	2.30067921555215e-71	7.06550142801916e-66	3	1	-0.92369250966996	1	1
"ENSG00000163435"	"ENSG00000163435"	1.33861136857876e-215	3.50300306122157e-50	4	1	0.608867888307785	1	1
"ENSG00000143198"	"ENSG00000143198"	8.02787240820036e-70	1.55848927811138e-47	3	1	-0.488862387773845	1	1
"ENSG00000204387"	"ENSG00000204387"	8.65028772939606e-52	3.18923175674749e-45	3	1	-0.816816436811099	1	1
"ENSG00000130429"	"ENSG00000130429"	2.92301404496052e-66	6.14512774469984e-41	4	1	-0.382279134142932	1	1
