"gene_ID","gene_qvalue","minimal_tx_qvalue","number_tx","number_significant_tx","max(Secretory_uninfected_child_Uninfected-Secretory_uninfected_adult_Uninfected)","pct_gene_expr","max_pct_tx_expr"
"ENSG00000125691",1.04031166619464e-239,1,3,0,-0.988904014725232,1,1
"ENSG00000198830",2.88876951355438e-91,1,5,0,0.986538035509803,1,0.833333333333333
"ENSG00000064199",1.61781771772629e-18,0.000200429466017419,3,1,-0.968768905543879,1,1
"ENSG00000174444",1.09206968027099e-36,1.70199732430377e-29,3,1,0.962817475385962,1,1
"ENSG00000104388",9.53120493624314e-20,1,3,0,0.951680578613086,1,0.833333333333333
"ENSG00000064995",1.97461507775115e-19,1,3,0,0.945778030255663,1,0.666666666666667
"ENSG00000073169",3.62644265408263e-05,0.00207064804019214,3,1,0.942809798145459,1,0.666666666666667
"ENSG00000203644",4.45078378939681e-13,1,3,0,-0.938819691436779,1,0.5
"ENSG00000214113",1.52525199362863e-16,1,5,0,-0.931438947350675,1,0.5
"ENSG00000185973",4.18418128975707e-05,0.112017169093916,3,0,-0.928185076784937,1,0.5
"ENSG00000104408",3.93380490744197e-130,1,4,0,-0.927666796659756,1,1
"ENSG00000124104",4.70688131025699e-08,1,3,0,0.917983917129752,1,0.666666666666667
"ENSG00000167595",3.18298665772723e-05,0.911738736825552,3,0,-0.917150975093472,0.833333333333333,0.5
"ENSG00000140564",9.10047187528652e-05,0.534907837184489,3,0,-0.916291001824379,1,0.5
"ENSG00000104979",1.89795137608205e-08,0.000267403427087895,4,1,-0.915530345100688,0.833333333333333,0.666666666666667
"ENSG00000107959",7.08146157182841e-09,1,4,0,0.911253233527254,1,0.5
"ENSG00000139266",4.6844334974442e-06,1,4,0,-0.909961910668471,1,0.5
"ENSG00000151632",1.04031166619464e-239,1,4,0,-0.908456171994668,1,1
"ENSG00000205084",2.6350317552185e-07,0.948588860584592,4,0,-0.906815815242971,1,0.5
"ENSG00000103544",0.000479582518780424,1,3,0,-0.904708500502976,1,0.5
"ENSG00000100575",8.94781863658319e-31,7.68341987174779e-32,3,1,0.903573137838806,1,1
"ENSG00000134294",3.95265675953593e-45,1,3,0,-0.903187322790289,1,1
"ENSG00000144589",1.15172806371547e-11,4.13442484151101e-06,3,1,0.901364507736128,1,0.833333333333333
"ENSG00000150787",4.68277853938954e-30,8.77197910406386e-10,3,1,-0.900886783005107,1,1
"ENSG00000128989",4.78163658524096e-18,1,4,0,-0.900814243849095,1,0.666666666666667
"ENSG00000120963",9.40913343105028e-63,1,4,0,0.89641827141823,1,1
"ENSG00000138834",2.23628588077015e-05,1,3,0,0.895791583808323,0.833333333333333,0.5
"ENSG00000170296",1.95611295396844e-43,2.95799607190458e-05,5,2,0.895558341302897,1,1
"ENSG00000130164",3.26924254753263e-25,2.10513596864978e-16,3,2,-0.894731561846989,1,1
"ENSG00000155363",8.75805634012881e-11,1,4,0,0.894674852933699,1,0.5
"ENSG00000157150",3.7685093593942e-11,1,3,0,-0.893486839626169,1,0.5
"ENSG00000172890",2.03568864202308e-05,1,4,0,0.890427114408989,0.833333333333333,0.5
"ENSG00000091490",1.63302659791328e-06,1,4,0,-0.884606907024551,1,0.5
"ENSG00000136436",2.2453785611831e-05,0.0112673091400063,3,1,-0.883778958305519,0.833333333333333,0.666666666666667
"ENSG00000211450",1.04031166619464e-239,6.34670121618841e-219,4,1,0.882229156612117,1,1
"ENSG00000138162",1.07021776275376e-13,1,4,0,0.878788231639246,1,0.666666666666667
"ENSG00000135090",0.00145904332522731,1,4,0,0.872852842160972,0.833333333333333,0.5
"ENSG00000102054",9.58870895718556e-60,8.43644805383969e-09,4,1,-0.871792378118045,1,1
"ENSG00000180881",2.083978259594e-10,0.0236111812893109,3,1,-0.867118295523415,0.833333333333333,0.666666666666667
"ENSG00000152904",9.05302471146829e-25,1,4,0,-0.86390756605871,1,0.666666666666667
"ENSG00000168300",3.60664436229467e-23,0.0799220395434791,5,0,0.863045685321818,1,0.833333333333333
"ENSG00000078140",7.76117696673584e-28,1,4,0,0.862563859624695,1,0.833333333333333
"ENSG00000115457",2.45936832875148e-135,1.89379842065204e-123,4,2,0.8613817333154,1,1
"ENSG00000143669",8.28813168631168e-07,1,3,0,0.858200789307447,0.833333333333333,0.666666666666667
"ENSG00000075151",3.98670086833992e-16,1,5,0,-0.85736742589412,1,1
"ENSG00000166508",2.56104926598831e-26,0.133690049879751,4,0,-0.855362023828383,1,0.833333333333333
"ENSG00000179335",1.41974988889361e-10,1,5,0,0.853219125849099,1,0.5
"ENSG00000124243",5.29768725464726e-23,1,5,0,-0.848943522774866,1,0.833333333333333
"ENSG00000100568",1.72549312952285e-77,4.80999695470719e-09,3,1,-0.848780407143092,1,1
"ENSG00000183833",1.41811612060623e-05,0.900172036037184,3,0,0.847039869656732,1,0.666666666666667
"ENSG00000169567",1.0865015629958e-41,1.44609341231658e-27,4,2,-0.845527780907332,1,1
"ENSG00000106012",7.16946295827374e-11,1,4,0,-0.845137632383661,1,0.5
"ENSG00000242802",2.63463784338088e-10,1,4,0,-0.844688471567043,1,0.666666666666667
"ENSG00000235106",2.18642018349615e-11,1,4,0,0.844592937478188,1,0.833333333333333
"ENSG00000167272",7.29604866830374e-45,1,4,0,-0.843837632697423,1,0.833333333333333
"ENSG00000115919",0.000746609138680287,1,5,0,0.84101532071716,0.833333333333333,0.5
"ENSG00000257727",1.50746426822356e-32,1.14317528714279e-10,5,1,-0.837628528617653,1,1
"ENSG00000068796",2.37383338660367e-06,0.0340391612668259,3,1,0.836597133490782,0.833333333333333,0.666666666666667
"ENSG00000173171",7.29604866830374e-45,9.50901019803748e-31,3,1,-0.835841088788052,1,1
"ENSG00000118046",6.21083538941317e-12,1,5,0,0.835793758369268,1,0.833333333333333
"ENSG00000231925",1.03759397822446e-29,3.35425385468754e-28,5,1,0.835382709559799,1,0.833333333333333
"ENSG00000059691",9.87219860905458e-13,1,5,0,0.835212558467305,1,1
"ENSG00000155957",8.04520859252048e-16,2.81161827410627e-09,5,3,-0.834465915279137,0.833333333333333,0.833333333333333
"ENSG00000142627",8.7300106678253e-33,0.0681894043621796,3,0,0.834091843692798,1,0.833333333333333
"ENSG00000071539",1.30664752815784e-08,0.339194812472826,3,0,-0.832550547280725,0.833333333333333,0.666666666666667
"ENSG00000174547",6.85312473035321e-72,5.17676135333773e-42,5,2,-0.831450012287818,1,1
"ENSG00000172345",0.000276359264545447,1,3,0,-0.830706319652303,1,0.5
"ENSG00000152582",2.66454764933102e-11,1,4,0,-0.830299284821049,1,0.5
"ENSG00000076321",5.44818493337013e-06,1,4,0,0.829286031314111,0.833333333333333,0.5
"ENSG00000101901",5.51581045014959e-05,1,6,0,0.828900084743917,1,0.5
"ENSG00000103342",9.6869306735493e-24,0.0778700857276815,3,0,-0.826777679708224,1,1
"ENSG00000100271",0.00013943887048414,0.982700344572639,3,0,-0.826444503050245,0.833333333333333,0.5
"ENSG00000154001",6.47815631742388e-21,0.0635395720663302,5,0,0.826310850574257,1,0.833333333333333
"ENSG00000172037",0.000120752662989935,0.0568108416482157,4,0,0.824350675869348,1,0.666666666666667
"ENSG00000164919",9.10272707920309e-239,1.02231511023218e-238,3,2,-0.823514375376295,1,1
"ENSG00000067167",2.24044000713497e-22,4.61722806460021e-13,4,1,-0.822566559301287,1,0.833333333333333
"ENSG00000204138",9.15849616308734e-07,1,4,0,-0.822315089884452,1,0.833333333333333
"ENSG00000086189",3.62433981306212e-05,0.85098071596206,3,0,0.81543428057339,1,0.833333333333333
"ENSG00000104660",3.15611748876422e-17,4.4175691470588e-10,3,2,0.815316848380902,1,0.833333333333333
"ENSG00000127580",0.000314923622797368,0.713677375156587,3,0,0.814008076482239,1,0.833333333333333
"ENSG00000164904",1.48095101655489e-37,0.0102583891451845,6,1,-0.812969138507494,1,0.833333333333333
"ENSG00000135269",1.46907456736037e-05,0.00170958938655768,3,1,0.81223653608367,1,0.5
"ENSG00000141759",0.000151596015436783,0.217379768971798,3,0,-0.810430037854664,1,0.666666666666667
"ENSG00000147010",1.67351625174254e-12,2.53113525343142e-05,4,1,-0.808207187107445,1,1
"ENSG00000130363",2.07268765925884e-06,1,3,0,0.807990594656774,1,0.666666666666667
"ENSG00000093010",2.61397818071541e-40,0.000219032657858555,6,1,0.806524716014587,1,1
"ENSG00000059122",2.21177906212815e-08,0.65882514154979,3,0,0.805828505964151,1,0.833333333333333
"ENSG00000170017",2.87228375004428e-16,3.64753465514171e-13,3,1,0.80454905931892,1,0.833333333333333
"ENSG00000117151",1.04685319559786e-38,1,7,0,0.802082983152538,1,0.833333333333333
"ENSG00000047621",9.34586495174107e-05,0.432994507167428,3,0,-0.800112850757906,0.833333333333333,0.5
"ENSG00000136021",2.0811562248605e-05,1,3,0,0.794793597502291,0.833333333333333,0.666666666666667
"ENSG00000205609",2.06102517212889e-08,0.00148173416880572,3,2,-0.791366251262934,1,1
"ENSG00000066697",7.74553931981936e-05,1,3,0,-0.791312544965323,0.833333333333333,0.666666666666667
"ENSG00000115520",8.10042159390748e-12,2.09250321391984e-07,3,1,0.790264235399467,1,1
"ENSG00000257698",6.10889898960045e-65,1.78168783992571e-12,5,1,-0.789212887332394,1,0.833333333333333
"ENSG00000158747",4.7600248037733e-32,4.11486422878469e-18,5,1,-0.787162638602419,1,1
"ENSG00000129657",9.42962690437953e-44,1,6,0,0.785870387937055,1,0.666666666666667
"ENSG00000068001",4.7600248037733e-32,1,6,0,-0.782031018318929,1,0.666666666666667
"ENSG00000104343",3.14781314873448e-06,0.904201001713726,4,0,-0.78120645066884,1,0.5
"ENSG00000132561",5.61404076744367e-05,1,6,0,0.781067536354552,1,0.666666666666667
"ENSG00000137692",4.89081568562336e-44,1,7,0,-0.779905336288846,1,1
"ENSG00000284024",0.00364998951407692,0.867310842537455,3,0,-0.77839561364572,0.833333333333333,0.666666666666667
"ENSG00000160613",0.00249973380316032,1,3,0,-0.777143057688105,0.833333333333333,0.5
"ENSG00000177570",9.57906170420047e-11,1,5,0,-0.776158881816914,1,0.666666666666667
"ENSG00000013374",1.18441085577508e-10,0.0204762985005788,3,1,0.776121202424179,1,0.666666666666667
"ENSG00000113161",1.4665513915084e-09,6.38806063818427e-07,4,1,0.769374563428382,1,0.666666666666667
"ENSG00000167699",3.60227164214417e-28,0.0488641404814422,6,1,-0.769230769230769,1,0.833333333333333
"ENSG00000171206",3.85134915655099e-10,1,5,0,0.767363413333477,1,0.666666666666667
"ENSG00000138303",1.28323073662525e-07,1,7,0,0.764705873983689,1,0.666666666666667
"ENSG00000184887",3.38471473532432e-11,1,6,0,-0.763565077061844,1,0.666666666666667
"ENSG00000163322",0.0033638123692326,1,3,0,-0.759504025079689,1,0.666666666666667
"ENSG00000117528",0.000206445140653424,0.000417590650716256,3,1,-0.758299482273072,0.833333333333333,0.666666666666667
"ENSG00000170222",7.46826310889176e-05,1,3,0,0.757523532167301,0.833333333333333,0.666666666666667
"ENSG00000137693",6.83358501490946e-15,1,6,0,-0.756786693459168,1,0.5
"ENSG00000166275",9.4945608918674e-48,1,4,0,-0.756498036543155,1,1
"ENSG00000132274",2.97633260609945e-18,6.97447345719102e-13,6,1,-0.755350605013308,1,0.833333333333333
"ENSG00000143418",1.3479587525455e-06,0.0102972785854956,3,1,0.754686173856898,1,0.833333333333333
"ENSG00000120256",6.12453955934447e-49,1,3,0,-0.754461522545934,1,1
"ENSG00000113387",8.95774008235302e-53,9.53486126906185e-37,3,1,0.753613972957181,1,1
"ENSG00000065457",2.83283629209788e-07,5.08796205031282e-07,4,1,0.749343144084715,1,0.666666666666667
"ENSG00000204843",0.00493143864809294,1,4,0,0.748109324228388,0.833333333333333,0.666666666666667
"ENSG00000100201",1.51096315228642e-21,1,4,0,0.74701427305405,1,0.833333333333333
"ENSG00000110367",1.24964080394049e-05,0.00482772300047684,3,1,0.745211687912843,1,0.833333333333333
"ENSG00000138107",4.18110053961268e-18,0.0430382377043096,3,1,0.743330069782734,1,1
"ENSG00000115107",1.77394751810459e-05,0.0569471175846862,4,0,-0.740178686089884,0.833333333333333,0.666666666666667
"ENSG00000130826",3.79419103786317e-33,0.000296047770779689,4,1,0.738437894559957,1,1
"ENSG00000177683",4.04906807348069e-10,1,5,0,-0.736707487969827,1,0.5
"ENSG00000117592",3.874932807297e-226,1,3,0,-0.736550048220221,1,1
"ENSG00000130202",1.30384589159843e-78,1,6,0,0.736281761463843,1,1
"ENSG00000020922",0.00325429793761669,1,4,0,-0.736144536061386,1,0.666666666666667
"ENSG00000163001",0.000306192228689031,1,4,0,0.733865600505729,1,0.5
"ENSG00000172831",6.8606919496499e-07,0.00148338657702067,3,1,-0.733836722381791,1,1
"ENSG00000100979",5.31434027200831e-23,2.87603123503383e-11,4,1,0.730292577075185,1,1
"ENSG00000187017",7.62723595024252e-08,1,6,0,0.729075410853405,1,0.5
"ENSG00000131089",1.39364262741389e-05,1.58946393408023e-05,3,1,-0.725723641713855,1,0.833333333333333
"ENSG00000183426",9.43097938152436e-14,0.0296433192447221,5,1,0.724339048551659,1,1
"ENSG00000166037",3.99845812842902e-10,1,5,0,-0.723936071739649,1,0.5
"ENSG00000146834",7.13253677735152e-08,1,3,0,0.723769034088361,1,0.833333333333333
"ENSG00000177427",5.60886646281027e-09,7.3321727226604e-06,3,1,0.723727467126183,1,0.666666666666667
"ENSG00000213145",2.72103769807663e-191,1,7,0,0.722343268744726,1,1
"ENSG00000105953",2.80168265415275e-10,0.420385806649902,3,0,-0.721734363748762,1,1
